cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,interval_steps,interval_zero_progress_steps,interval_accepted_uops,interval_active_prefixes,max_interval_accepted_uops,epoch_lookahead_chunks,epoch_inflight_memory_uops,epoch_corrected_horizon_violations,epoch_advanced_cycles,batch_memory_events,interval_private_memory_events,interval_escape_memory_events,max_batch_memory_events,reordered_memory_event_pairs,same_line_reordered_pairs,branch_outcome_coverage,per_core_uop_cpi_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_bvc_encoder_base,business_base,14.93116799,19117183.04,393,616,4,3532186,1653,15218,13800,4115,1651,1261568,255116,228358,26758,1186,0,1172156,1.0,0.023423638516613426,1.8275879318113193,1.7857627804285172,0.0234214487171502,0.0234214487171502,1.4274081262991247,1.3947390399260293,0.023423081621654487,0.023423081621654487,27031,27067,-0.001330032881368456,0.001330032881368456,26755,26871,-0.004316921588329426,0.004316921588329426,26755,26871,-0.004316921588329426,0.004316921588329426,860,852,0.009389671361502348,0.009389671361502348,25630,25630,0.0,0.0,25630,26829,-0.04469044690446904,0.04469044690446904
4,W_v28_bvc_encoder_heldout,heldout,12.78503941,16609502.04,812,553,4,3307714,1562,13732,12922,4435,1556,1132544,236042,212224,23818,1019,0,975819,1.0,0.02478481130870548,1.7770764404058303,1.7340999960724246,0.024783140782390523,0.024783140782390523,1.3678912384807151,1.3348082600329227,0.024784816994596972,0.024784816994596972,23942,23968,-0.0010847797062750334,0.0010847797062750334,23815,23921,-0.004431252874043727,0.004431252874043727,23815,23921,-0.004431252874043727,0.004431252874043727,5365,5351,0.002616333395626986,0.002616333395626986,23247,23247,0.0,0.0,23247,23902,-0.02740356455526734,0.02740356455526734
4,W_v28_cache_L1_mixed,mechanism,15.3218044,19427864.35,1951,274,6,3411116,1040,13324,13328,255,282,561152,67632,66566,1066,292,0,24,1.0,0.022729977199704213,0.8324379781278576,0.8139404176356185,0.02272593925974562,0.02272593925974562,0.6565030330249689,0.6419138252142907,0.022727673462723526,0.022727673462723526,1047,1056,-0.008522727272727272,0.008522727272727272,1047,1088,-0.03768382352941176,0.03768382352941176,1047,1088,-0.03768382352941176,0.03768382352941176,1140,1168,-0.023972602739726026,0.023972602739726026,1034,1034,0.0,0.0,1034,1083,-0.04524469067405355,0.04524469067405355
4,W_v28_cache_L2_mixed,mechanism,12.074477,15310292.13,2172,488,46,3411116,1353,12688,13328,140,1350,999424,67632,59286,8346,292,0,24,1.0,0.07645924130369212,1.4152276055877302,1.3146500324140433,0.07650520723678833,0.07650520723678833,1.1161206479052603,1.0367982874918247,0.07650703263151476,0.07650703263151476,65566,65577,-0.00016774173871936807,0.00016774173871936807,8215,8261,-0.005568333131582133,0.005568333131582133,8215,8261,-0.005568333131582133,0.005568333131582133,1140,1168,-0.023972602739726026,0.023972602739726026,8202,8202,0.0,0.0,8202,8254,-0.006299975769323964,0.006299975769323964
4,W_v28_coh_readmostly_sparse,mechanism,23.7334729,30786247.11,38,235,0,3146924,940,13629,12296,921,936,481280,66608,58386,8222,312,0,41,1.0,0.07327135562265401,0.7931949711459192,0.8559100284747149,-0.07327295538359076,0.07327295538359076,0.611483149894945,0.6598297714132277,-0.07327135514775822,0.07327135514775822,65570,65578,-0.00012199213150751776,0.00012199213150751776,8219,8257,-0.004602155746639215,0.004602155746639215,8219,8257,-0.004602155746639215,0.004602155746639215,1140,1168,-0.023972602739726026,0.023972602739726026,2062,2062,0.0,0.0,2062,5099,-0.5956069817611296,0.5956069817611296
4,W_v28_flink_base,business_base,15.57323746,19639881.93,14,932,51,3474694,2083,11261,13574,2409,2056,1908736,221009,176672,44337,803,0,226,1.0,0.0677905917216785,2.7623759537343995,2.587007128977067,0.06778830363203339,0.06778830363203339,2.1903969097710476,2.0513365844392992,0.06779010640506777,0.06779010640506777,52620,52642,-0.000417917252384028,0.000417917252384028,40362,40461,-0.0024468006228219766,0.0024468006228219766,40362,40461,-0.0024468006228219766,0.0024468006228219766,1758,1753,0.002852253280091272,0.002852253280091272,38233,38232,2.6156099602427287e-05,2.6156099602427287e-05,38233,40365,-0.05281803542673108,0.05281803542673108
4,W_v28_flink_heldout,heldout,14.55186071,19109815.76,157,912,83,3213273,1709,12275,12554,2576,1704,1867776,193362,146942,46420,826,0,216,1.0,0.07176117404035923,3.0513261265546947,2.8470269220945084,0.07175878909844904,0.07175878909844904,2.3235426930733865,2.167968134879659,0.0717605372933044,0.0717605372933044,48105,48131,-0.0005401923915979306,0.0005401923915979306,39712,39809,-0.0024366349317993417,0.0024366349317993417,39712,39809,-0.0024366349317993417,0.0024366349317993417,5069,5069,0.0,0.0,38768,38768,0.0,0.0,38768,39768,-0.025145845906256285,0.025145845906256285
4,W_v28_fp_alu_dense,mechanism,19.85949941,25276613.36,854,61,0,3440944,244,57344,13444,0,4,124928,68,42,26,48,0,1,1.0,0.0038510191726039054,0.18255308666086678,0.18325913366149857,-0.003852724753877427,0.003852724753877427,0.14342953561580776,0.14398402773640534,-0.0038510668809230556,0.0038510668809230556,23,31,-0.25806451612903225,0.25806451612903225,23,54,-0.5740740740740741,0.5740740740740741,23,54,-0.5740740740740741,0.5740740740740741,64,60,0.06666666666666667,0.06666666666666667,7,7,0.0,0.0,7,52,-0.8653846153846154,0.8653846153846154
4,W_v28_gofeed_base,business_base,15.95655205,20020232.63,29,1033,135,3272580,1683,12806,12786,4379,1682,2115584,198240,164295,33945,852,0,4601,1.0,0.10450470934341125,3.2408465845396033,2.9342149453596327,0.10450210529562559,0.10450210529562559,2.5830237916261787,2.3386275931590803,0.10450411137797339,0.10450411137797339,49620,49644,-0.00048344210780759005,0.00048344210780759005,33942,34036,-0.002761781642966271,0.002761781642966271,33942,34036,-0.002761781642966271,0.002761781642966271,5901,5896,0.0008480325644504749,0.0008480325644504749,31005,30398,0.01996841897493256,0.01996841897493256,31005,33888,-0.0850743626062323,0.0850743626062323
4,W_v28_gofeed_heldout,heldout,12.01842531,15428059.26,893,1067,122,3204856,1794,11377,12521,3504,1790,2185216,168968,130255,38713,673,0,3770,1.0,0.0792419185846795,3.493651304827091,3.2371412503785164,0.07923968545350965,0.07923968545350965,2.721546927537462,2.5217217384629738,0.07924156976823485,0.07924156976823485,47048,47072,-0.0005098572399728076,0.0005098572399728076,38542,38659,-0.0030264621433560104,0.0030264621433560104,38542,38659,-0.0030264621433560104,0.0030264621433560104,5636,5635,0.0001774622892635315,0.0001774622892635315,37139,36293,0.02331028021932604,0.02331028021932604,37139,38589,-0.037575474876260076,0.037575474876260076
