cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,branch_outcome_coverage,per_core_uop_cpi_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_int_alu_dense,mechanism,7.342732534,8695362.015,14392,1.0,0.0008889735783186632,0.8688224848573624,0.8695971444320666,-0.0008908258032633827,0.0008908258032633827,0.7336705608414629,0.7343233638577826,-0.0008889857635609531,0.0008889857635609531,15,42,-0.6428571428571429,0.6428571428571429,15,73,-0.7945205479452054,0.7945205479452054,15,73,-0.7945205479452054,0.7945205479452054,56,64,-0.125,0.125,5,5,0.0,0.0,5,68,-0.9264705882352942,0.9264705882352942
4,W_v28_fp_alu_dense,mechanism,7.02998918,8947572.886,13428,1.0,0.0015601742221550434,0.18297291219099363,0.18325913366149857,-0.001561840137439637,0.001561840137439637,0.14375938695892754,0.14398402773640534,-0.0015601784518006207,0.0015601784518006207,23,31,-0.25806451612903225,0.25806451612903225,23,54,-0.5740740740740741,0.5740740740740741,23,54,-0.5740740740740741,0.5740740740740741,64,60,0.06666666666666667,0.06666666666666667,7,7,0.0,0.0,7,52,-0.8653846153846154,0.8653846153846154
4,W_v28_simd_sse_dense,mechanism,4.487449076,8974967.864,14073,1.0,0.1668690381679803,0.45615179760319574,0.5475146636839968,-0.16686834552714738,0.16686834552714738,0.22807412725378298,0.2737554333066378,-0.16686903891213906,0.16686903891213906,23,33,-0.30303030303030304,0.30303030303030304,23,56,-0.5892857142857143,0.5892857142857143,23,56,-0.5892857142857143,0.5892857142857143,64,64,0.0,0.0,7,7,0.0,0.0,7,54,-0.8703703703703703,0.8703703703703703
4,W_v28_int_div_serial,mechanism,4.566511557,21539865.13,4658,1.0,0.16155425704923754,4.507275048186705,3.880342412807551,0.16156631778419486,0.16156631778419486,0.9555548966703235,0.8226513217956594,0.16155517088888405,0.16155517088888405,19,28,-0.32142857142857145,0.32142857142857145,19,56,-0.6607142857142857,0.6607142857142857,19,56,-0.6607142857142857,0.6607142857142857,49452,49452,0.0,0.0,9,9,0.0,0.0,9,52,-0.8269230769230769,0.8269230769230769
8,W_v28_int_alu_dense,mechanism,7.308352543,8654648.769,28767,1.0,0.001009278712610713,0.8687951805680834,0.8696748041648812,-0.001011439669845905,0.001011439669845905,0.7336475039413737,0.734388717492869,-0.0010092932173928243,0.0010092932173928243,31,85,-0.6352941176470588,0.6352941176470588,31,147,-0.7891156462585034,0.7891156462585034,31,147,-0.7891156462585034,0.7891156462585034,112,128,-0.125,0.125,7,7,0.0,0.0,7,139,-0.9496402877697842,0.9496402877697842
8,W_v28_fp_alu_dense,mechanism,7.110617784,9050194.71,26856,1.0,0.0017860550024280887,0.1829451704158751,0.1832728689063657,-0.0017880360167113944,0.0017880360167113944,0.14373759061466854,0.14399477937679464,-0.0017860978240961895,0.0017860978240961895,49,72,-0.3194444444444444,0.3194444444444444,49,117,-0.5811965811965812,0.5811965811965812,49,117,-0.5811965811965812,0.5811965811965812,128,120,0.06666666666666667,0.06666666666666667,9,9,0.0,0.0,9,112,-0.9196428571428571,0.9196428571428571
8,W_v28_simd_sse_dense,mechanism,4.506088916,9012247.834,28143,1.0,0.16698558079771048,0.4561101864181092,0.5475412419122355,-0.16698478305453687,0.16698478305453687,0.22805332182284424,0.2737687603029528,-0.16698559188973858,0.16698559188973858,49,77,-0.36363636363636365,0.36363636363636365,49,121,-0.5950413223140496,0.5950413223140496,49,121,-0.5950413223140496,0.5950413223140496,128,128,0.0,0.0,9,9,0.0,0.0,9,116,-0.9224137931034483,0.9224137931034483
8,W_v28_int_div_serial,mechanism,7.31985986,34527302.39,3046,1.0,0.16144266878684602,4.5063710706857005,3.8799320566838476,0.16145618140985343,0.16145618140985343,0.9553600320217144,0.822562868479763,0.16144317793894983,0.16144317793894983,38,57,-0.3333333333333333,0.3333333333333333,38,115,-0.6695652173913044,0.6695652173913044,38,115,-0.6695652173913044,0.6695652173913044,98826,98826,0.0,0.0,15,15,0.0,0.0,15,98,-0.8469387755102041,0.8469387755102041
