cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,interval_steps,interval_zero_progress_steps,interval_accepted_uops,interval_active_prefixes,max_interval_accepted_uops,epoch_lookahead_chunks,epoch_inflight_memory_uops,epoch_corrected_horizon_violations,epoch_advanced_cycles,batch_memory_events,max_batch_memory_events,reordered_memory_event_pairs,same_line_reordered_pairs,branch_outcome_coverage,per_core_uop_cpi_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_gofeed_base,business_base,5.600936013,7027335.329,9649,1033,135,3272580,1683,12806,12786,4379,1682,2115584,198240,852,0,4601,1.0,0.10450470934341125,3.2408465845396033,2.9342149453596327,0.10450210529562559,0.10450210529562559,2.5830237916261787,2.3386275931590803,0.10450411137797339,0.10450411137797339,49620,49644,-0.00048344210780759005,0.00048344210780759005,33942,34036,-0.002761781642966271,0.002761781642966271,33942,34036,-0.002761781642966271,0.002761781642966271,5901,5896,0.0008480325644504749,0.0008480325644504749,31005,30398,0.01996841897493256,0.01996841897493256,31005,33888,-0.0850743626062323,0.0850743626062323
8,W_v28_gofeed_base,business_base,5.369747139,6737724.19,19104,982,15,6545602,3411,25599,25573,8931,3406,2011136,396480,1702,0,8987,1.0,0.10914467565940744,3.0787088297583574,2.775756901925753,0.1091420965655975,0.1091420965655975,2.4536308501494593,2.2121833259976738,0.10914444626459471,0.10914444626459471,99244,99304,-0.0006042052686699428,0.0006042052686699428,67892,68108,-0.0031714336054501674,0.0031714336054501674,67892,68108,-0.0031714336054501674,0.0031714336054501674,12153,12142,0.0009059463020919124,0.0009059463020919124,55546,54512,0.018968300557675375,0.018968300557675375,55546,66423,-0.16375351911235567,0.16375351911235567
16,W_v28_gofeed_base,business_base,4.996104736,6268914.133,37290,894,6,13091246,6787,50918,51149,17682,6778,1830912,792960,3388,0,17660,1.0,0.14091497372221215,2.8033198431478397,2.4570855846133024,0.14091257573717272,0.14091257573717272,2.2341476128399083,1.9582066052617488,0.14091516535420687,0.14091516535420687,198494,198623,-0.0006494716120489571,0.0006494716120489571,135805,136273,-0.003434282653203496,0.003434282653203496,135805,136273,-0.003434282653203496,0.003434282653203496,24371,24353,0.0007391286494477067,0.0007391286494477067,90131,88567,0.017658947463502207,0.017658947463502207,90131,123717,-0.27147441337892125,0.27147441337892125
32,W_v28_gofeed_base,business_base,4.276806087,5366426.966,7267,791,10,26182786,13185,102182,102297,34648,13156,1619968,1585920,6796,0,35528,1.0,0.2254432251612936,2.477991834578326,2.0221247759343473,0.22543962868628603,0.22543962868628603,1.9748504227166659,1.6115406624671738,0.2254425027620999,0.2254425027620999,396987,397257,-0.000679660773756032,0.000679660773756032,271734,272654,-0.003374239879114189,0.003374239879114189,271734,272654,-0.003374239879114189,0.003374239879114189,48822,48788,0.0006968926785275068,0.0006968926785275068,128685,126271,0.019117612119964204,0.019117612119964204,128685,204526,-0.3708134907053382,0.3708134907053382
