cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,interval_steps,interval_zero_progress_steps,interval_accepted_uops,interval_active_prefixes,max_interval_accepted_uops,epoch_lookahead_chunks,epoch_inflight_memory_uops,epoch_corrected_horizon_violations,epoch_advanced_cycles,batch_memory_events,interval_private_memory_events,interval_escape_memory_events,retired_uops,memory_accesses,uop_conservation_ok,memory_event_conservation_ok,memory_partition_ok,private_preview_epochs,private_preview_events,materialized_escape_events,state_certificate_failures,timing_certificate_failures,timing_reweave_passes,replayed_shared_events,canonical_fallback_epochs,max_batch_memory_events,reordered_memory_event_pairs,same_line_reordered_pairs,branch_outcome_coverage,per_core_uop_cpi_mape,per_core_dtlb_access_mape,per_core_dtlb_miss_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,dtlb_access_fastsim,dtlb_access_gem5,dtlb_access_signed_error,dtlb_access_absolute_error,dtlb_miss_fastsim,dtlb_miss_gem5,dtlb_miss_signed_error,dtlb_miss_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_memory_random_mlp,mechanism,9.614191598,11080900.4,9,830,200,2228436,1115,15222,1092,2587,1112,1699840,294988,197726,97262,2228436,294988,True,True,True,0,0,0,0,0,0,0,0,2053,0,135,1.0,0.020394712195619377,0.0012661995118081505,0.00244009884994386,3.4994450398040415,3.5723553957519174,-0.020409603152748337,0.020409603152748337,3.0362456000531313,3.0994953010087247,-0.020406451635854705,0.020406451635854705,137390,137417,-0.00019648224018862294,0.00019648224018862294,97262,97327,-0.0006678516752802408,0.0006678516752802408,97262,97326,-0.0006575837905595627,0.0006575837905595627,56,61,-0.08196721311475409,0.08196721311475409,294988,295362,-0.0012662427800461805,0.0012662427800461805,115268,115550,-0.0024405019472090003,0.0024405019472090003,91142,91132,0.0001097309397357679,0.0001097309397357679,91142,91206,-0.000701708220950376,0.000701708220950376
4,W_v28_pytorch_base,business_base,12.064771,18000230.58,11,165,0,3181976,660,20661,1556,1323,657,337920,214424,165759,48665,3181976,214424,True,True,True,0,0,0,0,0,0,0,0,1468,0,367,1.0,0.6554870974739853,0.0035549585911890586,0.000203752318854985,0.6330105873195983,1.8374091314883305,-0.6554874053516596,0.6554874053516596,0.4242794414539896,1.2315341592088238,-0.6554870701056639,0.6554870701056639,49181,49207,-0.0005283801085211454,0.0005283801085211454,48662,48762,-0.002050777244575694,0.002050777244575694,48662,48762,-0.002050777244575694,0.002050777244575694,372,384,-0.03125,0.03125,214424,215189,-0.0035550144291762124,0.0035550144291762124,49068,49078,-0.00020375728432291454,0.00020375728432291454,46611,46609,4.291016756420434e-05,4.291016756420434e-05,46611,48652,-0.041950998931184744,0.041950998931184744
4,W_v28_pytorch_heldout,heldout,12.67007571,19726397.59,9,190,0,3032594,756,17145,1484,1323,752,389120,170618,127737,42881,3032594,170618,True,True,True,0,0,0,0,0,0,0,0,982,0,198,1.0,0.5896380562176542,0.015436122888436033,0.0003712621828741529,0.7932186264956572,1.9329778244168603,-0.5896390447547142,0.5896390447547142,0.5094767054211675,1.241532143051459,-0.5896387312462431,0.5896387312462431,43061,43088,-0.0006266245822502785,0.0006266245822502785,42878,42978,-0.002326771836753688,0.002326771836753688,42878,42978,-0.002326771836753688,0.002326771836753688,3334,3338,-0.0011983223487118035,0.0011983223487118035,170618,173293,-0.015436284212287859,0.015436284212287859,43081,43097,-0.0003712555398287584,0.0003712555398287584,41943,41940,7.15307582260372e-05,7.15307582260372e-05,41943,42946,-0.023354910818236856,0.023354910818236856
8,W_v28_memory_random_mlp,mechanism,9.198076724,10601304.44,6,943,106,4456872,2248,30442,2184,5208,2240,1931264,589976,395574,194402,4456872,589976,True,True,True,0,0,0,0,0,0,0,0,4106,0,305,1.0,0.03864618681813551,0.0012966469843457278,0.0024036183268071167,3.9566166461164163,3.8094245316490527,0.03863893699546423,0.03863893699546423,3.432904288029811,3.30518265861118,0.038642835392431435,0.038642835392431435,274830,274884,-0.00019644650106954206,0.00019644650106954206,194402,194651,-0.0012792125393653257,0.0012792125393653257,194402,194650,-0.001274081685075777,0.001274081685075777,112,122,-0.08196721311475409,0.08196721311475409,589976,590742,-0.0012966743519167419,0.0012966743519167419,230337,230892,-0.0024037212203107945,0.0024037212203107945,182103,182085,9.885493038965319e-05,9.885493038965319e-05,182103,182232,-0.0007078888449888054,0.0007078888449888054
8,W_v28_pytorch_base,business_base,11.64047314,17367192.52,12,191,0,6363952,1526,40267,3112,3041,1520,391168,428848,331504,97344,6363952,428848,True,True,True,0,0,0,0,0,0,0,0,2938,0,763,1.0,0.6140827183197128,0.003890549953199077,0.00023423668999113343,0.7320899406397404,1.8970167211033246,-0.6140835594670198,0.6140835594670198,0.4906880190171139,1.2714862866929153,-0.6140831213418954,0.6140831213418954,98360,98419,-0.0005994777431187067,0.0005994777431187067,97340,97544,-0.002091363897318133,0.002091363897318133,97340,97543,-0.0020811334488379483,0.0020811334488379483,744,764,-0.02617801047120419,0.02617801047120419,428848,430523,-0.0038906167614738353,0.0038906167614738353,98162,98185,-0.00023425166777002598,0.00023425166777002598,88260,88255,5.665401393688743e-05,5.665401393688743e-05,88260,96681,-0.08710087814565426,0.08710087814565426
8,W_v28_pytorch_heldout,heldout,12.10275851,18843243.43,12,210,0,6065008,1673,32146,2967,2735,1668,430080,341216,255481,85735,6065008,341216,True,True,True,0,0,0,0,0,0,0,0,1904,0,436,1.0,0.5628839909760774,0.01556481998389376,0.0003479504887045428,0.878887590515347,2.0106602490052623,-0.5628860763770703,0.5628860763770703,0.5644975241582534,1.291418530773907,-0.562885686780437,0.562885686780437,86113,86173,-0.0006962737748482704,0.0006962737748482704,85731,85931,-0.0023274487670340155,0.0023274487670340155,85731,85930,-0.0023158384731758407,0.0023158384731758407,6736,6744,-0.0011862396204033216,0.0011862396204033216,341216,346611,-0.015564999379708087,0.015564999379708087,86192,86222,-0.0003479390410800028,0.0003479390410800028,81567,81560,8.582638548307995e-05,8.582638548307995e-05,81567,85663,-0.0478152761402239,0.0478152761402239
16,W_v28_memory_random_mlp,mechanism,8.007035087,9228561.49,5,1181,103,8913744,4507,61024,4368,10678,4491,2418688,1179952,791256,388696,8913744,1179952,True,True,True,0,0,0,0,0,0,0,0,8230,0,811,1.0,0.18153578220826808,0.0012670584094595654,0.002362683229044067,4.896324461900663,4.144006528101818,0.18154361695550894,0.18154361695550894,4.248228914808413,3.5954760956798797,0.18154836849363126,0.18154836849363126,549629,549718,-0.00016190119297530733,0.00016190119297530733,388695,389187,-0.001264173777644166,0.001264173777644166,388695,389187,-0.001264173777644166,0.001264173777644166,224,245,-0.08571428571428572,0.08571428571428572,1179952,1181449,-0.001267088126529372,0.001267088126529372,460624,461715,-0.0023629295127946892,0.0023629295127946892,364132,364103,7.964779197095327e-05,7.964779197095327e-05,364132,364373,-0.0006614101483918951,0.0006614101483918951
16,W_v28_pytorch_base,business_base,10.82641056,16152638.65,7,259,0,12727904,4125,80523,6224,8822,4116,530432,857696,663024,194672,12727904,857696,True,True,True,0,0,0,0,0,0,0,0,5886,0,1907,1.0,0.4968307739680227,0.004661461368965309,0.00023936071586356302,0.9899268077684106,1.967385611568136,-0.49683132683918857,0.49683132683918857,0.663504847302431,1.3186513303062561,-0.4968307147968127,0.4968307147968127,196715,196885,-0.0008634482058054194,0.0008634482058054194,194661,195086,-0.002178526393488,0.002178526393488,194661,195085,-0.002173411589819822,0.002173411589819822,1488,1532,-0.028720626631853787,0.028720626631853787,857696,861713,-0.004661644886406495,0.004661644886406495,196308,196355,-0.00023936237936390722,0.00023936237936390722,159670,159620,0.00031324395439168026,0.00031324395439168026,159670,189357,-0.15677793796902148,0.15677793796902148
16,W_v28_pytorch_heldout,heldout,10.89173591,16957817.5,5,267,0,12129809,4256,61076,5935,7230,4246,546816,682409,510929,171480,12129809,682409,True,True,True,0,0,0,0,0,0,0,0,3808,0,1198,1.0,0.4791528309097192,0.016032404497671335,0.00036535350602457403,1.1181962069794524,2.1468825645697134,-0.4791535291994112,0.4791535291994112,0.7181996023185526,1.3789071381709714,-0.4791530318196796,0.4791530318196796,172230,172366,-0.0007890187159880719,0.0007890187159880719,171472,171891,-0.0024375912642314026,0.0024375912642314026,171472,171891,-0.0024375912642314026,0.0024375912642314026,13442,13448,-0.000446162998215348,0.000446162998215348,682409,693528,-0.016032517793081173,0.016032517793081173,172371,172434,-0.00036535718013848775,0.00036535718013848775,154841,154808,0.00021316727817683842,0.00021316727817683842,154841,170085,-0.08962577534762031,0.08962577534762031
32,W_v28_memory_random_mlp,mechanism,6.862765847,7909726.375,2,1604,186,17827488,8986,121772,8736,21556,8953,3284992,2359904,1582499,777405,17827488,2359904,True,True,True,0,0,0,0,0,0,0,0,16424,0,2601,1.0,0.3887422889226212,0.0012869228573933608,0.0024830123450239497,6.580892495469291,4.738724131911895,0.3887477540951832,0.3887477540951832,5.709821316385124,4.11147205992022,0.388753525056405,0.388753525056405,1099199,1099389,-0.00017282326819715313,0.00017282326819715313,777404,778304,-0.0011563604966696817,0.0011563604966696817,777404,778304,-0.0011563604966696817,0.0011563604966696817,448,492,-0.08943089430894309,0.08943089430894309,2359904,2362945,-0.0012869533569338262,0.0012869533569338262,921090,923383,-0.002483259925729627,0.002483259925729627,728520,728474,6.314569909152557e-05,6.314569909152557e-05,728520,728996,-0.0006529528282734062,0.0006529528282734062
