cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,interval_steps,interval_zero_progress_steps,interval_accepted_uops,interval_active_prefixes,max_interval_accepted_uops,epoch_lookahead_chunks,epoch_inflight_memory_uops,epoch_corrected_horizon_violations,epoch_advanced_cycles,batch_memory_events,interval_private_memory_events,interval_escape_memory_events,retired_uops,memory_accesses,uop_conservation_ok,memory_event_conservation_ok,memory_partition_ok,private_preview_epochs,private_preview_events,materialized_escape_events,state_certificate_failures,timing_certificate_failures,timing_reweave_passes,replayed_shared_events,canonical_fallback_epochs,max_batch_memory_events,reordered_memory_event_pairs,same_line_reordered_pairs,branch_outcome_coverage,per_core_uop_cpi_mape,per_core_dtlb_access_mape,per_core_dtlb_miss_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,dtlb_access_fastsim,dtlb_access_gem5,dtlb_access_signed_error,dtlb_access_absolute_error,dtlb_miss_fastsim,dtlb_miss_gem5,dtlb_miss_signed_error,dtlb_miss_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_pytorch_base,business_base,5.615908255,8378745.317,5,360,13,3181976,930,23866,1556,2187,928,737280,214424,165759,48665,3181976,214424,True,True,True,0,0,0,0,0,0,0,0,1612,0,63369,1.0,0.24968253762425935,0.0035549585911890586,0.9940706767140249,1.3786382775209356,1.8374091314883305,-0.24968356045764464,0.24968356045764464,0.9240412246981121,1.2315341592088238,-0.24968283032299712,0.24968283032299712,49181,49207,-0.0005283801085211454,0.0005283801085211454,48662,48762,-0.002050777244575694,0.002050777244575694,48662,48762,-0.002050777244575694,0.002050777244575694,372,384,-0.03125,0.03125,214424,215189,-0.0035550144291762124,0.0035550144291762124,97865,49078,0.9940706630262032,0.9940706630262032,46611,46609,4.291016756420434e-05,4.291016756420434e-05,46611,48652,-0.041950998931184744,0.041950998931184744
4,W_v28_memory_seq_moderate,mechanism,7.658944582,8827313.754,6,1037,389,2228404,941,18464,1092,581,941,2123776,131140,38,131102,2228404,131140,True,True,True,0,0,0,0,0,0,0,0,1138,0,31,1.0,0.20090209150273497,0.0016139662094481104,0.48947367457125485,4.389755960311484,5.49341494144201,-0.20090581048312695,0.20090581048312695,3.8087348613626615,4.766299965222074,-0.20090323958760684,0.20090323958760684,131102,131116,-0.000106775679550932,0.000106775679550932,131102,131207,-0.0008002621811336285,0.0008002621811336285,131102,131207,-0.0008002621811336285,0.0008002621811336285,56,60,-0.06666666666666667,0.06666666666666667,131140,131352,-0.0016139837992569584,0.0016139837992569584,3110,2087,0.49017728797316723,0.49017728797316723,131082,131082,0.0,0.0,131082,131148,-0.0005032482386311648,0.0005032482386311648
4,W_v28_memory_random_mlp,mechanism,5.803021638,6688311.145,4,965,331,2228436,926,17872,1092,2378,924,1976320,294988,197726,97262,2228436,294988,True,True,True,0,0,0,0,0,0,0,0,2404,0,1682,1.0,0.14065291235528,0.0012661995118081505,0.0002767949649376505,4.0747960146306745,3.5723553957519174,0.14064687390180627,0.14064687390180627,3.5354409998761462,3.0994953010087247,0.14065054356609086,0.14065054356609086,137390,137417,-0.00019648224018862294,0.00019648224018862294,97262,97327,-0.0006678516752802408,0.0006678516752802408,97262,97326,-0.0006575837905595627,0.0006575837905595627,56,61,-0.08196721311475409,0.08196721311475409,294988,295362,-0.0012662427800461805,0.0012662427800461805,115560,115550,8.654262224145392e-05,8.654262224145392e-05,91142,91132,0.0001097309397357679,0.0001097309397357679,91142,91206,-0.000701708220950376,0.000701708220950376
32,W_v28_pytorch_base,business_base,5.007137307,7470479.636,4,511,12,25455808,7232,178286,12448,17165,7190,1046528,1715392,1325983,389409,25455808,1715392,True,True,True,0,0,0,0,0,0,0,0,12952,0,3860781,1.0,0.04264626071514513,0.005126486629180481,0.9939851803548653,1.9503215347393494,2.037204452174663,-0.04264810895272114,0.04264810895272114,1.3072156263906454,1.365447747635383,-0.042646905636324235,0.042646905636324235,393460,393856,-0.0010054436139096522,0.0010054436139096522,389385,390287,-0.0023111197657108744,0.0023111197657108744,389385,390287,-0.0023111197657108744,0.0023111197657108744,2976,3046,-0.02298095863427446,0.02298095863427446,1715392,1724232,-0.0051269202752297835,0.0051269202752297835,783030,392696,0.9939851691893984,0.9939851691893984,266200,266053,0.0005525214900790444,0.0005525214900790444,266200,355394,-0.25097216047541604,0.25097216047541604
32,W_v28_memory_seq_moderate,mechanism,6.128013627,7062839.846,2,1952,218,17827232,7569,147804,8736,4309,7528,3997696,1049120,308,1048812,17827232,1049120,True,True,True,0,0,0,0,0,0,0,0,9118,0,1343,1.0,0.1585994166785803,0.0018352764926629894,0.4876321294775833,7.880415173657947,7.98771374442292,-0.013432951429924466,0.013432951429924466,6.837375987478033,6.930443890205492,-0.01342885162940105,0.01342885162940105,1048812,1048963,-0.0001439516932437083,0.0001439516932437083,1048812,1049811,-0.0009515998594032641,0.0009515998594032641,1048812,1049810,-0.0009506482125336966,0.0009506482125336966,448,480,-0.06666666666666667,0.06666666666666667,1049120,1051049,-0.0018353092957607115,0.0018353092957607115,24888,16735,0.4871825515386914,0.4871825515386914,1048665,1048651,1.335048552855049e-05,1.335048552855049e-05,1048665,1049123,-0.00043655510364371,0.00043655510364371
32,W_v28_memory_random_mlp,mechanism,4.581462598,5280395.158,8,1877,280,17827488,7692,142914,8736,19308,7680,3844096,2359904,1582499,777405,17827488,2359904,True,True,True,0,0,0,0,0,0,0,0,19225,0,13004,1.0,0.631674790418395,0.0012869228573933608,0.0003109895873507933,7.731906577907516,4.738724131911895,0.6316431095532007,0.6316431095532007,6.708482933770591,4.11147205992022,0.6316498898695578,0.6316498898695578,1099199,1099389,-0.00017282326819715313,0.00017282326819715313,777405,778304,-0.0011550756516733821,0.0011550756516733821,777405,778304,-0.0011550756516733821,0.0011550756516733821,448,492,-0.08943089430894309,0.08943089430894309,2359904,2362945,-0.0012869533569338262,0.0012869533569338262,923522,923383,0.00015053341896049634,0.00015053341896049634,728523,728474,6.72638968583642e-05,6.72638968583642e-05,728523,728996,-0.0006488375793557166,0.0006488375793557166
