cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,interval_steps,interval_zero_progress_steps,interval_accepted_uops,interval_active_prefixes,max_interval_accepted_uops,epoch_lookahead_chunks,epoch_inflight_memory_uops,epoch_corrected_horizon_violations,epoch_advanced_cycles,batch_memory_events,interval_private_memory_events,interval_escape_memory_events,retired_uops,memory_accesses,uop_conservation_ok,memory_event_conservation_ok,memory_partition_ok,private_preview_epochs,private_preview_events,materialized_escape_events,state_certificate_failures,timing_certificate_failures,timing_reweave_passes,replayed_shared_events,canonical_fallback_epochs,max_batch_memory_events,reordered_memory_event_pairs,same_line_reordered_pairs,branch_outcome_coverage,per_core_uop_cpi_mape,per_core_dtlb_access_mape,per_core_dtlb_miss_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,dtlb_access_fastsim,dtlb_access_gem5,dtlb_access_signed_error,dtlb_access_absolute_error,dtlb_miss_fastsim,dtlb_miss_gem5,dtlb_miss_signed_error,dtlb_miss_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_pytorch_base,business_base,11.68860633,17439005.6,9,165,0,3181976,660,22186,1556,1496,656,337920,214424,165759,48665,3181976,214424,True,True,True,0,0,0,0,0,0,0,0,1612,0,9201,1.0,0.6559085740721295,0.0035549585911890586,0.9940706767140249,0.6322359968866341,1.8374091314883305,-0.6559089720129381,0.6559089720129381,0.42376026720503235,1.2315341592088238,-0.65590863717717,0.65590863717717,49181,49207,-0.0005283801085211454,0.0005283801085211454,48662,48762,-0.002050777244575694,0.002050777244575694,48662,48762,-0.002050777244575694,0.002050777244575694,372,384,-0.03125,0.03125,214424,215189,-0.0035550144291762124,0.0035550144291762124,97865,49078,0.9940706630262032,0.9940706630262032,46611,46609,4.291016756420434e-05,4.291016756420434e-05,46611,48652,-0.041950998931184744,0.041950998931184744
4,W_v28_memory_seq_moderate,mechanism,15.27712816,17607648.43,12,1024,346,2228404,949,18464,1092,568,947,2097152,131140,38,131102,2228404,131140,True,True,True,0,0,0,0,0,0,0,0,1138,0,31,1.0,0.2112181894108134,0.0016139662094481104,0.48947367457125485,4.333094727782789,5.49341494144201,-0.21122020201056207,0.21122020201056207,3.7595732192187774,4.766299965222074,-0.21121766429914374,0.21121766429914374,131102,131116,-0.000106775679550932,0.000106775679550932,131102,131207,-0.0008002621811336285,0.0008002621811336285,131102,131207,-0.0008002621811336285,0.0008002621811336285,56,60,-0.06666666666666667,0.06666666666666667,131140,131352,-0.0016139837992569584,0.0016139837992569584,3110,2087,0.49017728797316723,0.49017728797316723,131082,131082,0.0,0.0,131082,131148,-0.0005032482386311648,0.0005032482386311648
4,W_v28_memory_random_mlp,mechanism,9.784502164,11277192.98,4,818,228,2228436,934,17872,1092,2475,932,1675264,294988,197726,97262,2228436,294988,True,True,True,0,0,0,0,0,0,0,0,2404,0,88,1.0,0.03944018352845352,0.0012661995118081505,0.0002767949649376505,3.4314812937554824,3.5723553957519174,-0.03943451487608318,0.03943451487608318,2.9772777858551915,3.0994953010087247,-0.03943142456572131,0.03943142456572131,137390,137417,-0.00019648224018862294,0.00019648224018862294,97262,97327,-0.0006678516752802408,0.0006678516752802408,97262,97326,-0.0006575837905595627,0.0006575837905595627,56,61,-0.08196721311475409,0.08196721311475409,294988,295362,-0.0012662427800461805,0.0012662427800461805,115560,115550,8.654262224145392e-05,8.654262224145392e-05,91142,91132,0.0001097309397357679,0.0001097309397357679,91142,91206,-0.000701708220950376,0.000701708220950376
4,W_v28_int_div_serial,mechanism,5.763907808,27187886.26,35,458,0,3709970,1829,8586,1812,690,632,937984,65560,65538,22,3709970,65560,True,True,True,0,0,0,0,0,0,0,0,154,0,1,1.0,0.22597146115080521,0.5012815464889995,0.5184294871794872,4.757239448510154,3.880342412807551,0.22598444735400033,0.22598444735400033,1.0085480475583362,0.8226513217956594,0.22597268227431622,0.22597268227431622,19,28,-0.32142857142857145,0.32142857142857145,19,56,-0.6607142857142857,0.6607142857142857,19,56,-0.6607142857142857,0.6607142857142857,49452,49452,0.0,0.0,65560,131459,-0.5012893753946097,0.5012893753946097,18,39,-0.5384615384615384,0.5384615384615384,9,9,0.0,0.0,9,52,-0.8269230769230769,0.8269230769230769
4,W_v28_simd_sse_dense,mechanism,18.00015286,36000585.34,43,101,0,3604828,404,36056,1764,0,4,206848,80,54,26,3604828,80,True,True,True,0,0,0,0,0,0,0,0,60,0,1,1.0,0.1677637980819026,0.3943252559551371,0.325,0.4556618952507767,0.5475146636839968,-0.1677631203796101,0.1677631203796101,0.22782917798019767,0.2737554333066378,-0.16776381301991336,0.16776381301991336,23,33,-0.30303030303030304,0.30303030303030304,23,56,-0.5892857142857143,0.5892857142857143,23,56,-0.5892857142857143,0.5892857142857143,64,64,0.0,0.0,80,133,-0.39849624060150374,0.39849624060150374,12,18,-0.3333333333333333,0.3333333333333333,7,7,0.0,0.0,7,54,-0.8703703703703703,0.8703703703703703
4,W_v28_cache_L1_mixed,mechanism,23.77574192,30147355.81,44,274,6,3411116,1040,13324,1668,3,31,561152,67632,66566,1066,3411116,67632,True,True,True,0,0,0,0,0,0,0,0,280,0,20,1.0,0.02271284870066251,0.0017416895869874275,0.13333333333333333,0.8324242244013412,0.8139404176356185,0.022709041552962238,0.022709041552962238,0.6564921861349775,0.6419138252142907,0.022710775727287153,0.022710775727287153,1047,1056,-0.008522727272727272,0.008522727272727272,1047,1088,-0.03768382352941176,0.03768382352941176,1047,1088,-0.03768382352941176,0.03768382352941176,1140,1168,-0.023972602739726026,0.023972602739726026,67632,67750,-0.0017416974169741698,0.0017416974169741698,43,38,0.13157894736842105,0.13157894736842105,1034,1034,0.0,0.0,1034,1083,-0.04524469067405355,0.04524469067405355
8,W_v28_pytorch_base,business_base,11.27950485,16828640.02,8,216,0,6363952,1723,44486,3112,4107,1720,442368,428848,331504,97344,6363952,428848,True,True,True,0,0,0,0,0,0,0,0,3232,0,51040,1.0,0.5638075511766271,0.003890549953199077,0.9940724476227558,0.8274634976602868,1.8970167211033246,-0.5638080105171527,0.5638080105171527,0.5546127626355447,1.2714862866929153,-0.5638075153149545,0.5638075153149545,98360,98419,-0.0005994777431187067,0.0005994777431187067,97341,97544,-0.0020811121135077505,0.0020811121135077505,97341,97543,-0.0020708815599274166,0.0020708815599274166,744,764,-0.02617801047120419,0.02617801047120419,428848,430523,-0.0038906167614738353,0.0038906167614738353,195788,98185,0.9940724143199063,0.9940724143199063,88260,88255,5.665401393688743e-05,5.665401393688743e-05,88260,96681,-0.08710087814565426,0.08710087814565426
8,W_v28_memory_seq_moderate,mechanism,14.66639754,16903751.07,11,1208,256,4456808,1898,36936,2184,1150,1892,2473984,262280,77,262203,4456808,262280,True,True,True,0,0,0,0,0,0,0,0,2278,0,99,1.0,0.33583915022347566,0.0016975548913152644,0.48758538700293075,5.022470126033383,7.585248284173016,-0.3378634504933731,0.3378634504933731,4.357703989043279,6.581252214284641,-0.3378609651845798,0.3378609651845798,262203,262237,-0.00012965371019345095,0.00012965371019345095,262203,262432,-0.0008726069991464455,0.0008726069991464455,262203,262432,-0.0008726069991464455,0.0008726069991464455,112,120,-0.06666666666666667,0.06666666666666667,262280,262726,-0.0016975860782716594,0.0016975860782716594,6223,4181,0.48839990432910785,0.48839990432910785,262160,262160,0.0,0.0,262160,262289,-0.0004918239041667779,0.0004918239041667779
8,W_v28_memory_random_mlp,mechanism,9.16113833,10558730.85,4,941,135,4456872,1912,35744,2184,4902,1910,1927168,589976,395574,194402,4456872,589976,True,True,True,0,0,0,0,0,0,0,0,4808,0,219,1.0,0.031201072100734372,0.0012966469843457278,0.00026859556268889553,3.928299194402608,3.8094245316490527,0.031205412199646898,0.031205412199646898,3.408335038565164,3.30518265861118,0.031209282695839884,0.031209282695839884,274830,274884,-0.00019644650106954206,0.00019644650106954206,194402,194651,-0.0012792125393653257,0.0012792125393653257,194402,194650,-0.001274081685075777,0.001274081685075777,112,122,-0.08196721311475409,0.08196721311475409,589976,590742,-0.0012966743519167419,0.0012966743519167419,230932,230892,0.0001732411690314086,0.0001732411690314086,182103,182085,9.885493038965319e-05,9.885493038965319e-05,182103,182232,-0.0007078888449888054,0.0007078888449888054
8,W_v28_int_div_serial,mechanism,6.011041982,28353693.67,18,458,0,7419965,3656,17016,3626,1366,1259,937984,131120,131077,43,7419965,131120,True,True,True,0,0,0,0,0,0,0,0,304,0,9,1.0,0.22579786324385426,0.5005351783886108,0.405048076923077,4.756068473435013,3.8799320566838476,0.22581230906914215,0.22581230906914215,1.0082964003199475,0.822562868479763,0.2257985850776997,0.2257985850776997,38,57,-0.3333333333333333,0.3333333333333333,38,115,-0.6695652173913044,0.6695652173913044,38,115,-0.6695652173913044,0.6695652173913044,98826,98826,0.0,0.0,131120,262524,-0.5005409029269705,0.5005409029269705,42,75,-0.44,0.44,15,15,0.0,0.0,15,98,-0.8469387755102041,0.8469387755102041
